BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
128,2244,"20,046","20,046",0,31,"4,171","6,247","9,993","31,078","63,300"
129,1580,"20,421","21,626",1,19,"4,399","6,491","13,607","27,443","59,222"
130,1744,"23,370","23,370",0,13,"4,794.2","6,659","10,253","18,734","88,075.8"
131,964,"24,334","24,334",0,9,"5,284.4","7,346","8,891","12,990","105,331.8"
132,116,"24,450","24,450",0,13,"2,026.2","3,795","4,880","8,664","112,640.4"
133,1385,"25,835","25,835",0,12,"3,125.4","4,553","6,781","34,597","117,537.2"
134,1609,"27,444","27,969",1,10,"5,018.8","8,121","10,006","28,417","130,992.2"
135,2636,"30,080","30,080",0,21,"2,449.5","4,230","6,607.5","29,792","135,678.7"
136,5627,"30,102","35,707",0,49,"2,043","4,332","6,052","20,124","93,510"
137,2295,"36,150","38,002",1,23,"2,509.6","3,595","4,416","9,370.5","75,488.6"
138,2266,"40,268","40,268",0,10,"1,910.6","2,799","3,020","4,566","75,640"
139,487,"40,755","40,755",0,9,"1,945.5","2,466","4,426.5","6,532","74,946.5"
140,3624,"44,379","44,379",0,11,"1,380","3,091","3,961","5,086","80,677.3"
141,5813,"50,192","50,192",0,23,"2,563","4,115","4,775","5,405","63,834.2"
142,830,"51,022","51,022",0,15,"1,990.3","3,331","3,968.5","6,317","54,863.4"
143,12364,"63,386","63,386",0,31,"5,225.4","7,973","11,872","37,272","63,561.2"
144,3059,"66,445","68,827",1,24,"3,881.5","4,733","13,226","16,563.5","55,688.5"
145,4946,"71,391","71,391",0,9,"4,375.4","7,164","8,629","10,420","90,407.2"
146,1559,"72,950","72,950",0,14,"2,421.7","3,139","3,395","5,137","89,004.7"
147,4652,"77,602","77,602",0,14,"2,652","3,102","3,882.5","18,433","120,907"
148,5874,"78,095","84,035",1,19,"2,353","4,187","5,708.5","9,017","66,320"
149,3686,"87,162","87,162",0,20,"3,182","3,588","5,528.5","36,027","111,080"
150,6189,"91,870","93,351",1,22,"2,034.6","4,782.5","6,580","45,480","130,346.9"
151,13582,"93,477","106,933",1,31,"2,655","8,446","11,817","23,121","125,848"
152,15182,"107,329","122,115",0,23,"2,203","5,907","6,898","17,019","126,215"
153,3178,"125,293","125,293",0,18,"1,677","4,429","4,900.5","21,051.5","141,092.3"
154,9337,"134,630","134,630",0,15,"5,037.9","6,185","7,028","30,293","216,740.6"
155,7413,"142,043","142,043",0,43,"6,310","7,305","7,635","129,450","200,910"
156,16274,"146,882","158,317",1,25,"6,204","7,308","11,277","101,807","472,166"
157,7822,"152,110","166,139",2,23,"2,463","5,911","8,984","73,237","455,446"
158,10649,"169,127","176,788",1,36,"5,010","8,619","14,701.5","75,228","424,639"
159,26026,"202,814","202,814",0,31,"9,714","12,208","18,306","117,310","410,473"
160,17988,"220,802","230,143",1,33,"6,055","10,671.5","25,424","138,663.5","430,994"
161,204,"221,006","228,573",1,42,"2,693.9","43,397.5","52,747","142,389","842,944.4"
162,13844,"226,095","254,621",1,48,"4,503","50,744","61,411","213,970","703,232.2"
163,7877,"242,727","243,145",1,65,"3,131","13,961","43,885","191,287","838,745"
164,33615,"276,342","276,342",0,68,"49,621.2","91,730","188,954","262,512","678,795.3"
165,9090,"285,432","309,957",3,93,"8,116","56,396","153,251","245,087","841,902"
166,33615,"319,047","319,047",1,90,"23,884.3","58,738","125,210.5","192,141","878,330"
167,23735,"342,782","352,662",1,80,"6,537","85,459","139,503","204,710","840,667"
168,19735,"343,435","364,382",2,90,"4,217","54,064","107,766","256,234","792,461"
169,5795,"365,037","396,133",1,31,"19,606.6","181,517.5","377,410","694,577","1,404,600.5"
170,33615,"401,927","401,928",1,84,"31,454.6","208,721","342,120.5","604,772","1,059,781.9"
171,26944,"428,871","435,543",2,116,"13,262","180,551","300,777","536,609","939,146"
172,33616,"462,487","469,158",2,133,"7,107.3","106,628","367,395.5","551,384","1,229,041.2"
173,33615,"496,102","496,102",0,227,"68,487","86,440.5","189,512.5","436,940","1,054,012"
174,33615,"529,717","529,717",0,85,"25,073.4","54,774","144,125","346,820","1,502,235.6"
175,33615,"563,332","563,332",0,96,"20,557","67,850","87,873","196,351","1,602,101"
176,33615,"596,947","596,947",0,104,"44,536","76,289","139,907","426,207","1,722,841"
177,33615,"630,562","630,562",1,95,"6,376","64,570","116,511.5","366,656","1,653,980"
178,33615,"664,177","664,178",0,154,"34,828","90,863.5","183,903","507,213","1,525,575"
179,33615,"697,792","697,793",1,202,"10,186","74,780","222,669","476,610","1,349,686"
