BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
63,1,140,140,0,4,157.5,298,510.5,"7,633","19,216.5"
64,1,141,141,0,32,994,"1,155","1,316","4,020","8,916"
65,1,142,142,0,21,213,683,736.5,"4,733","9,864.5"
66,1,143,143,0,20,"1,018.5","1,057","1,263","4,175","9,798"
67,1,144,144,0,13,417,566.5,756.5,"3,233.5","9,986"
68,1,145,145,0,4,141,285.5,494,"3,919","12,927.5"
69,1,146,146,0,6,228.4,477,557,"4,054","17,746.8"
70,1,147,147,0,18,"4,718.4","5,080","5,122","8,334","10,366.4"
71,1,148,148,0,7,960.5,"1,162.5","1,298","4,782","8,793"
72,1,149,149,0,0,"12,492.5","12,713","13,006","16,064","21,407.5"
73,5,154,154,0,96,619.5,746,810,"5,238.5","14,235.5"
74,17,171,171,0,8,"4,052.5","4,169.5","4,259","6,641","16,322"
75,1,172,172,0,30,327.5,434.5,616,"3,523.5","7,048"
76,1,173,173,0,-1,"11,424.5","11,651","11,904","14,310.5","18,194"
77,2,175,175,0,19,847.5,"1,058","1,179","5,352.5","9,778.5"
78,10,185,185,0,8,"1,129.5","1,245","1,345.5","5,047","10,131.5"
79,3,188,188,0,22,543.5,661,848,"6,833.5","13,439.5"
80,9,197,197,0,22,934,"1,066","1,186.5","4,248.5","5,487"
81,72,269,269,0,61,200.5,371,419,"6,633","16,305"
82,1970,"2,239","2,239",0,73,"5,705","6,649","6,786","11,665","20,682.5"
83,1,"2,240","2,240",0,16,615.5,737,937,"4,659.5","10,284.5"
84,6,"2,246","2,246",0,14,574.5,758,890.5,"5,120.5","10,728.5"
85,5546,"7,792","7,792",0,71,"1,798.5","2,955","3,571.5","8,709.5","19,586.5"
86,1575,"9,367","9,367",0,17,"8,284","8,720.5","9,336","13,466","30,985"
87,3037,"12,404","12,404",0,99,"1,245","1,870","2,840","8,865","11,449.5"
88,13057,"25,461","25,461",0,78,"3,798","6,691.5","8,366","14,724","31,780"
89,3267,"28,728","28,728",0,57,"1,329.5","2,078","3,071.5","11,977","43,797.5"
90,3096,"31,824","31,824",0,21,"9,282","9,819","35,795","148,022","163,427"
91,26431,"53,880","58,255",1,84,"8,962.2","16,862.5","36,784","72,424","1,294,525.1"
92,7309,"64,111","65,564",0,48,"3,635.4","17,468","21,004.5","40,274","546,616.4"
93,4331,"68,561","69,895",0,70,"3,974","4,600","7,564","20,989","619,890.2"
94,12204,"82,099","82,099",0,37,"21,537.2","24,842","31,317","33,666","347,607.4"
95,57615,"139,714","139,714",0,235,"60,053","64,651","82,165","140,959","304,999.3"
96,21041,"160,755","191,362",1,56,"13,034","56,104","105,396","141,298","612,677.6"
97,75839,"236,594","240,095",0,141,"28,289","75,039","123,817","172,895","442,459"
98,7233,"243,827","333,201",1,125,"36,496","96,805","120,420","179,362","926,055"
99,55500,"299,327","299,327",0,149,"37,867.6","103,150","187,937","561,968","1,836,299"
100,38713,"338,040","349,589",1,91,"44,434.4","133,691","545,617","920,401","1,869,402"
101,134484,"373,656","472,524",2,365,"37,193.4","164,759","258,798","736,254","2,029,694.8"
102,23451,"411,889","495,975",1,80,"16,493","185,579","401,722","1,337,667","2,459,523"
103,72641,"449,827","568,616",1,341,"18,022","100,301","172,051","630,082","1,259,022.2"
104,98107,"603,517","703,100",2,197,"10,952","78,871","112,758","466,807","1,107,246"
105,7603,"674,326","674,326",0,134,"87,420","189,913","703,786","1,732,709","2,159,987"
106,69962,"744,288","757,169",1,416,"54,551","200,042","902,369","1,131,408","1,609,440"
107,12217,"756,505","817,876",1,232,"20,148","146,161","328,968","1,118,324","1,533,425"
108,56480,"812,985","882,079",1,303,"17,360","231,510","747,900.5","977,001","1,382,445"
109,109193,"854,635","947,468",1,212,"31,096","383,139","754,478","1,067,441","1,741,753"
110,102710,"1,024,888","1,056,661",1,384,"43,576","266,112.5","470,866","975,855","1,449,427.5"
111,134484,"1,159,372","1,191,144",1,363,"38,941","148,063","330,730","783,445","1,198,632"
112,133764,"1,293,136","1,293,136",0,380,"223,030.2","332,266","379,840.5","543,113.5","868,049.3"
113,125264,"1,418,400","1,418,400",0,313,"115,010.4","180,907","802,016","1,078,698","1,665,734"
114,107645,"1,469,084","1,552,883",2,302,"40,040","133,280","612,339.5","851,165","1,388,746"
115,134483,"1,502,970","1,677,876",2,309,"23,695","174,614","381,730","813,457","1,498,164"
116,25680,"1,686,208","1,686,208",0,196,"13,863","231,603","604,732","902,973","1,314,699"
117,105573,"1,769,720","1,791,781",1,479,"38,722","171,744","231,218","508,264","1,755,342"
118,412,"1,792,193","1,792,193",0,104,"97,665","143,652","477,163","697,123.5","1,705,736"
119,132718,"1,889,090","1,924,911",1,295,"44,358.8","121,294","316,582","731,763","1,537,416.6"
120,383,"1,925,294","2,006,723",3,123,"42,139.4","124,162","226,092.5","630,194","1,456,011"
121,22445,"1,947,739","2,125,721",1,75,"35,274","132,112.5","242,761","826,533","1,402,809"
122,110179,"2,057,918","2,125,725",2,182,"24,437.5","79,896.5","293,647","771,453.5","1,339,325"
123,39639,"2,097,557","2,157,099",2,105,"26,366","72,238.5","244,316.5","768,798","1,340,275"
124,4031,"2,100,727","2,101,588",1,93,"11,133","96,782","153,650","727,472","1,694,013"
125,448,"2,102,036","2,102,036",0,66,"21,072","94,416","201,977","566,456.5","1,656,590"
126,8354,"2,102,045","2,110,390",1,92,"10,808","44,058","118,424","342,770","1,584,533"
127,5006,"2,115,396","2,244,873",0,75,"16,864.2","45,593","95,486","861,568","1,694,226.4"
128,7,"2,115,403","2,115,403",0,33,"38,186.8","41,718","125,087","854,143","1,730,654.8"
129,58109,"2,173,512","2,213,759",0,61,"18,095","68,169","262,512","535,495.5","1,624,664"
130,53306,"2,208,580","2,226,818",1,71,"11,208.4","90,683","258,319","398,467","1,608,392.6"
131,7542,"2,234,360","2,285,900",2,73,"16,211.4","46,590","175,378.5","348,615.5","2,206,986"
132,29768,"2,264,128","2,292,979",1,107,"2,830","27,325","144,958.5","607,080","2,140,186"
133,4554,"2,268,682","2,268,682",0,24,"10,418.6","68,381","203,052","619,210","2,189,974"
134,54396,"2,323,078","2,323,078",0,101,"27,093","46,219","133,582","534,330","2,095,448"
135,27420,"2,329,343","2,361,482",1,38,"9,662","28,352","136,049","504,972","2,125,872"
136,1240,"2,351,738","2,351,738",0,72,"4,564","7,699","71,646","905,001","2,094,182.1"
137,10584,"2,362,322","2,362,322",0,46,"3,764.2","10,545","31,400","878,312","2,075,981.6"
138,2,"2,362,324","2,362,324",0,16,755.4,"1,278","23,927","1,021,750","2,060,028.4"
139,20355,"2,362,325","2,382,679",0,22,"6,803.4","9,871","14,647","1,019,421","2,057,490.4"
140,1,"2,382,680","2,382,680",0,27,"1,058.1","1,318","1,762","1,000,390","2,047,801.6"
141,1,"2,382,681","2,382,681",0,8,"1,233.5","1,285","1,358.5","1,012,561","2,046,833.8"
142,1,"2,382,682","2,382,682",0,10,663.9,819,977.5,"1,010,621","2,049,523.7"
143,1,"2,382,683","2,382,683",0,5,757,875,"1,122","1,012,822","2,056,162.5"
144,1,"2,382,684","2,382,684",0,2,749,"1,063","1,387.5","1,018,061","2,062,695.7"
145,3,"2,382,687","2,382,687",0,121,422,535,755.5,"903,472","1,951,322.4"
146,1,"2,382,688","2,382,688",0,12,"1,059.1","1,202","1,343.5","901,134","1,960,181.3"
147,1,"2,382,689","2,382,689",0,7,827.4,945,"1,054","901,955","1,958,090.8"
148,1,"2,382,690","2,382,690",0,18,811.4,904,"1,196.5","891,105","1,944,534.8"
149,1,"2,382,691","2,382,691",0,4,941.5,"1,058","1,353","893,234","1,954,829.4"
150,1,"2,382,692","2,382,692",0,12,632.3,765,"1,020","887,457","1,949,870.8"
151,1,"2,382,693","2,382,693",0,14,757.7,800,860.5,"882,382","1,943,608.2"
152,1,"2,382,694","2,382,694",0,23,885.6,"1,027","1,351","925,370","1,926,808.3"
153,1,"2,382,695","2,382,695",0,6,"1,009.1","1,147","1,304","1,005,211","1,927,226.1"
154,1,"2,382,696","2,382,696",0,9,727.6,769,819,"1,015,180","1,930,144.9"
155,1,"2,382,697","2,382,697",0,15,241,462,731,"1,121,816","1,922,062.8"
156,2,"2,382,699","2,382,699",0,711,515.4,623,853,"510,814","1,218,354.3"
157,1,"2,382,700","2,382,700",0,4,803.1,915,"1,050.5","550,142","1,224,605.7"
158,1,"2,382,701","2,382,701",0,6,321.7,456,486,"576,950","1,228,549.5"
159,1,"2,382,702","2,382,702",0,24,"1,116.3","1,239","1,292","560,010","1,210,008"
160,1,"2,382,703","2,382,703",0,12,425.9,557,683,"600,431","1,212,138.6"
161,1,"2,382,704","2,382,704",0,35,388.7,544,595.5,"587,637","1,188,344.7"
162,1,"2,382,705","2,382,705",0,31,976.7,"1,157","1,232.5","568,341","1,170,075.7"
163,2,"2,382,707","2,382,707",0,13,"1,180.6","1,341","1,503.5","604,117","1,183,037.1"
164,1,"2,382,708","2,382,708",0,6,463.6,"1,037","1,243.5","637,572","1,184,732.9"
165,1,"2,382,709","2,382,709",0,4,542,717,915,"651,432","1,188,890.3"
166,1,"2,382,710","2,382,710",0,46,688.4,811,849.5,"610,884","1,149,005.9"
167,2,"2,382,712","2,382,712",0,10,522.6,684,929,"610,776","1,147,664.8"
