BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
28,2,78,78,0,31,10081.8,11494,18618.5,22868,57884.09999999994
29,15,93,93,0,53,3037,3888,7425,14186,29527.19999999998
30,19,112,112,0,69,9135.8,9695,13332,17487,29409.799999999996
31,1,113,113,0,33,3050.2,3945,5146,10724,16150.599999999999
32,1,114,114,0,97,1079.1000000000001,1263,2162,7837,51514.89999999963
33,1,115,115,0,18,3962.2,4366,4674.5,7222,47732.19999999967
34,3,118,118,0,105,972.2000000000003,1551,2075.5,16237,77222.19999999966
35,19,137,137,0,90,1359.2,1616,6391.5,42559.5,78800.49999999997
36,428,138,565,0,58,6002,6257,9362,25256,42143.599999999926
37,85,650,650,0,10,938,1707,21899.5,172806.5,184596
38,1315,1872,1965,1,95,1919,2651,15173.5,87756.5,98788
39,2151,4116,4116,0,71,2508.8,3215.5,19663,34884,91955.79999999993
40,3780,4407,7896,1,58,2612,3612,14310,23614,51674
41,119,7994,8015,0,19,9270,9755.5,14891.5,82185.5,148015
42,9750,17637,17817,1,107,2673,5896,13388,28087,68972
43,429,18194,18194,0,12,7536.800000000001,9094,10522,28059,96662.19999999997
44,1534,19728,19728,0,50,10323.6,10995,12059,43167,65865.2
45,16123,35851,35851,0,91,12050.400000000001,14850,17450,22365,30356.6
46,3018,38869,38869,0,32,46248,47160,50593,57194,588429
47,27931,66099,70332,1,125,15795,23997,135677,208792,509700
48,28524,68320,95324,6,77,5364.8,25458,75931,171013,453551.79999999993
49,15632,76587,110956,4,45,5918.500000000002,30725,80975.5,211078,439010.20000000007
50,3596,77798,114552,3,44,3729,6474,86592.5,175920,385745
51,32254,84939,149710,3,93,6756.5,20113,22412,90710,320533.9000000001
52,12189,100282,158995,2,41,12248.1,19277,73842,274200,527195.8999999997
53,15638,101396,183354,1,20,10282,46282,228022,383049,502831
54,33304,183235,208824,5,100,7907.8,23820,206941,288390,429464.19999999995
55,5631,185025,214653,4,50,4421.300000000005,173343.5,277309.5,441770.5,778777.1999999997
56,64615,188777,281820,6,128,7683.600000000001,152263,273008.6666666667,459823,687825.1999999997
57,28217,247162,306400,4,66,8386.500000000007,119281,238479,430485,604307.9999999998
58,14396,264505,320796,2,26,10150,143060,222347,379927,629701
59,37756,316802,358552,1,115,6085,124219,259529,375246,669206.9999999997
60,63435,361068,421987,4,95,16670.4,62210,212058,332459,673836.4000000001
61,5922,393945,427909,0,70,27401.4,134181,210244,333694,648930.9999999995
62,389,428298,428298,0,136,28118,43035,124949,205302,513278
63,2579,430877,498719,1,95,21805.600000000006,39872,308311,528167,872638
64,12009,442886,534140,1,92,37711.399999999994,172714,315544,466920,787070
65,67712,473503,510598,4,110,13149,124339,266334,474378,811845
