height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
276,2375745,2375745,1154,1720,2270,6475,1647292
277,2375746,2375746,13122,"13384.5",14260,18688,1620869
278,2375747,2375747,1307,1484,10349,13453,1578219
279,2375748,2375748,665,832,9177,13545,1576287
280,2375749,2375749,1470,1617,3715,4121,1572047
281,2375750,2375750,1097,1182,2398,4581,1571340
282,2375751,2375751,5087,5235,5995,8024,1571302
283,2375752,2375752,2876,3512,4023,8228,1537130
284,2375753,2375753,7446,7912,8473,20628,1512412
285,2375760,2375760,5652,6078,6424,31835,1475340
286,2375761,2375761,451,934,19256,26891,1476433
287,2375763,2375763,853,959,13925,21576,1471245
288,2375764,2375764,6744,6791,10768,18734,1466330
289,2375766,2375766,1066,1384,5577,18844,1459979
290,2375767,2375767,1535,1698,10775,17203,1456457
291,2375768,2375768,2315,2773,3564,8936,1422223
292,2375773,2375773,671,1161,3921,7935,1390986
293,2375774,2375774,826,1322,2556,7121,1364106
294,2375775,2375775,15818,16253,16633,22197,1365084
295,2375776,2375776,1404,1537,23407,26919,1322885
296,2375777,2375777,1415,1545,21642,29026,1322350
297,2375778,2375778,1349,1420,20676,27831,1322759
298,2375779,2375779,1259,1330,16887,26498,1331765
299,2375782,2375782,4248,4426,5977,8471,1308458
