height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
676,2383919,2383919,1462,1587,1732,2041,"2182.3999999999987"
677,2383920,2383920,"500.6000000000001",633,762,1016,"1190.5999999999995"
678,2383921,2383921,243,838,959,1251,"1504.1999999999987"
679,2383927,2383927,"632.0000000000001",746,1086,1307,"1563.3999999999983"
680,2383943,2383943,"390.40000000000015",1006,1149,1259,"1473.599999999999"
681,2383944,2383944,"531.6000000000001",710,813,1008,"1270.7999999999995"
682,2383945,2383945,"927.6000000000001",1089,1304,1461,"1564.7999999999997"
683,2383949,2383949,"1208.2000000000003",1388,1433,1815,"2082.5999999999985"
684,2383961,2383961,"954.2",1336,1510,1613,"1781.7999999999995"
685,2383968,2383968,"1528.8000000000002",1758,1873,2030,3258
686,2383969,2383969,"713.2",891,1011,1202,"1413.3999999999996"
687,2383970,2383970,"885.4000000000001",1044,1125,1343,1488
688,2383971,2383971,880,1105,1337,1460,"1685.3999999999987"
689,2383972,2383972,"1311.8",1424,1856,2018,"2456.7999999999993"
690,2383993,2383993,1766,2281,2536,2709,"3280.3999999999983"
691,2383994,2383994,"911.6",1100,1188,1459,"1977.3999999999994"
692,2383995,2383995,"824.8000000000002",963,1222,1380,"1635.7999999999997"
693,2383996,2383996,"1183.6000000000001",1307,1377,1675,"1937.8"
694,2384017,2384017,"1206.6000000000001",1471,1646,1759,2371
695,2384018,2384018,"1256.8000000000002",1384,1545,1745,"1902.5999999999997"
696,2384019,2384019,1980,2089,2187,2550,18864
697,2384020,2384020,469,1106,1367,2063,4063
698,2384038,2384038,"1409.4",1595,2107,2228,"2613.5999999999995"
699,2384042,2384042,"710.0000000000001",931,1287,1530,"1732.1999999999998"
700,2384043,2384043,"791.8000000000001",1007,1477,1873,2386
701,2384044,2384044,"808.6000000000001",961,1080,1226,"1464.3999999999999"
702,2384045,2384045,"1429.8000000000002",1570,1818,2011,"2551.1999999999935"
703,2384055,2384055,1071,1461,1729,1981,"2114.3999999999987"
704,2384067,2384067,"1436.2000000000003",1740,2013,2138,"2384.3999999999996"
705,2384068,2384068,"758.8000000000002",902,1272,1373,"1411.6"
706,2384069,2384069,958,1445,1595,1851,"2144.5999999999995"
707,2384072,2384072,"328.4000000000001",934,1043,1479,"2005.199999999998"
708,2384111,2384111,1169,1689,1806,2103,"2263.599999999999"
709,2384112,2384112,470,913,1192,1408,"1547.9999999999993"
710,2384113,2384113,"564.0000000000001",729,863,1105,"1321.199999999999"
711,2384114,2384114,"483.0000000000001",694,764,875,"1132.1999999999996"
712,2384115,2384115,"1257.0000000000002",1410,1920,2105,"2216.2"
713,2384128,2384128,"938.4000000000001",1157,1329,1391,"1813.599999999998"
714,2384137,2384137,"851.6",982,1076,1314,"1514.5999999999985"
715,2384138,2384138,"769.2",884,1040,1240,"1453.3999999999994"
716,2384139,2384139,"1026.6000000000001",1203,1291,1565,2950
717,2384160,2384160,"1012.2000000000002",1142,1240,1406,"1612.1999999999987"
718,2384161,2384161,"1019.0000000000001",1217,1277,1505,"1647.6"
719,2384162,2384162,787,913,1328,1481,"1625.1999999999996"
720,2384169,2384169,822,1247,1599,1702,"1918.3999999999983"
721,2384181,2384181,"1196.2",1388,1583,1692,"1846.9999999999984"
722,2384185,2384185,944,1462,1578,1927,2144
723,2384186,2384186,"1077.2",1221,1652,1719,"1805.3999999999999"
724,2384187,2384187,1065,1418,1688,1839,"2329.5999999999954"
725,2384208,2384208,"855.6000000000001",1056,1174,1408,"1571.3999999999983"
726,2384209,2384209,"506.9000000000001","679.5","945.5",1011,"3784.6999999998593"
727,2384210,2384210,"1229.2000000000003","1473.5","1708.5","1944.5","3566.6999999999443"
728,2384211,2384211,281,758,1118,1239,"2083.999999999991"
729,2384212,2384212,"797.6000000000001",1078,1306,1565,"2110.2000000000003"
730,2384223,2384223,"941.2",1119,1329,1492,"1924.3999999999996"
731,2384234,2384234,"579.7","743.5","905.5",1114,"3608.2999999998783"
732,2384235,2384235,"1074.2","1202.5",1330,"1598.5","2313.1999999999825"
733,2384239,2384239,"680.0000000000001",871,1214,1334,"1686.1999999999982"
734,2384250,2384250,1636,1765,2173,2287,2943
735,2384258,2384258,1001,1448,1853,2049,"2254.399999999999"
736,2384259,2384259,"1223.6",1403,1583,1900,2860
737,2384260,2384260,"521.4000000000001",724,802,1097,"1304.5999999999995"
738,2384261,2384261,1105,1257,1667,1786,"2139.5999999999985"
739,2384262,2384262,1138,1398,1529,1720,1891
740,2384283,2384283,"1465.2",1649,1773,1838,"2069.9999999999995"
741,2384284,2384284,5,946,1176,1379,"1495.9999999999998"
742,2384285,2384285,"1615.2",1778,2178,2207,"2324.3999999999996"
743,2384286,2384286,"919.6",1116,1479,1531,"1790.599999999999"
744,2384287,2384287,"959.0000000000001",1153,1592,1790,1854
745,2384308,2384308,"1030.0000000000002",1138,1508,1702,"1896.3999999999983"
746,2384309,2384309,1506,1595,1752,53169,53576
747,2384310,2384310,447,870,1042,7353,7739
748,2384311,2384311,"1177.8000000000002",1430,1574,1888,"2087.5999999999995"
749,2384326,2384326,"1442.6000000000001",1633,1961,2166,"2499.5999999999995"
750,2384333,2384333,"1347.2",1936,2017,2237,2284
751,2384334,2384334,"793.2000000000002",892,1322,1466,"1824.599999999998"
752,2384335,2384335,"1223.2000000000003",1445,1562,1793,"2043.3999999999999"
753,2384336,2384336,"794.6",1053,1169,1348,"1570.7999999999977"
754,2384345,2384345,1074,1330,1374,1587,"1711.7999999999997"
755,2384355,2384355,"1371.6",1629,1849,1940,2015
756,2384359,2384359,"576.8000000000001",748,1030,1218,"1679.1999999999987"
757,2384360,2384360,2,644,746,956,"1300.7999999999993"
758,2384361,2384361,528,1017,1100,1429,"1695.7999999999984"
759,2384362,2384362,"1057.0000000000002",1226,1391,1493,"1638.7999999999997"
760,2384363,2384363,"400.0000000000001",981,1051,1241,"1460.1999999999994"
761,2384364,2384364,2411,2924,3370,3535,4248
762,2384385,2384385,"1358.2",1483,1618,1910,"2254.9999999999964"
763,2384386,2384386,"1343.4",1478,1678,1817,"2027.3999999999996"
764,2384407,2384407,"847.2000000000002",1024,1093,1479,"1783.599999999998"
765,2384428,2384428,"1307.6000000000001",1485,1881,1941,"2194.3999999999996"
766,2384429,2384429,"1311.2",1578,1761,2018,"2427.399999999999"
767,2384441,2384441,1279,1432,1612,1784,"2177.3999999999996"
768,2384451,2384451,"557.4000000000001",738,922,1080,"1591.9999999999968"
769,2384452,2384452,"1254.4",1413,1503,1548,"1782.5999999999995"
770,2384453,2384453,985,1426,1540,1992,"2180.5999999999976"
771,2384454,2384454,"1215.4",1450,1526,1809,"1935.9999999999986"
772,2384475,2384475,"861.2",985,1102,1325,1405
773,2384476,2384476,"1141.0000000000002",1297,1610,1769,"2002.7999999999988"
774,2384477,2384477,"652.6",896,1017,1271,1465
775,2384498,2384498,"911.2",1032,1268,1543,"2427.9999999999927"
776,2384499,2384499,"944.0000000000001",1099,1519,1652,"1751.2"
777,2384500,2384500,1055,1372,1702,1844,"1950.5999999999992"
778,2384521,2384521,1338,1448,1556,1810,21205
779,2384522,2384522,462,1411,1828,1978,8475
780,2384523,2384523,"770.4000000000001",924,1285,1366,1617
781,2384524,2384524,"1406.2000000000003",1611,1678,2010,"2134.9999999999995"
782,2384545,2384545,"1163.2000000000003",1447,1766,1971,"2071.3999999999996"
783,2384546,2384546,501,935,1315,1499,"1636.599999999999"
784,2384554,2384554,"1562.6",1718,1899,2046,"2553.9999999999964"
785,2384568,2384568,"4.600000000000001",839,996,1079,"1552.5999999999985"
786,2384569,2384569,2185,2366,2596,2848,"3373.399999999998"
787,2384570,2384570,"1376.6000000000001",1546,1968,2058,"2198.2"
788,2384571,2384571,"538.0000000000001",832,953,1228,"1661.3999999999992"
789,2384592,2384592,"725.8000000000002",822,948,1223,"1331.6"
790,2384593,2384593,1148,1323,1481,1632,"1805.8"
791,2384614,2384614,"614.8000000000001",780,945,1060,"1892.999999999986"
792,2384615,2384615,1000,1421,1743,2030,"2255.199999999999"
793,2384616,2384616,808,1263,1617,1759,"1929.999999999999"
794,2384617,2384617,"1050.8000000000002",1210,1260,1333,"1734.7999999999997"
795,2384618,2384618,770,1273,1591,1774,"2187.7999999999997"
796,2384619,2384619,"1166.8000000000002",1307,1663,1928,"2305.5999999999985"
797,2384621,2384621,"889.0000000000001",1016,1109,1187,"1773.1999999999998"
798,2384641,2384641,284,822,1104,1510,8477
799,2384642,2384642,881,1028,1226,1564,4762
800,2384643,2384643,"953.6000000000001",1184,"1497.5",1680,"3468.699999999918"
801,2384644,2384644,"892.0000000000001",1011,1532,1644,"1866.8"
802,2384648,2384648,"1122.8000000000002",1284,1400,1539,"1711.799999999999"
803,2384666,2384666,1143,1460,1722,1878,"2127.399999999999"
804,2384667,2384667,"807.6",1020,1178,1284,"1439.5999999999988"
805,2384670,2384670,"876.0000000000001",1041,1152,1428,"1583.3999999999999"
806,2384680,2384680,"1024.4",1241,1376,1489,"1593.5999999999997"
